,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,TummyCúmmies,9,0,16,31,Chogath,4517,9030,4517,55900,8,False,False,12176,11325,TOP,0,0,2,3110,1054,3047,6662,3075,3105,3340,20,3,TOP,0,598,91170,11272,2585,1,0,0,0,0,0,29838,2785,29833,3542,etOnbu4dYYEEQJ7ga-tgQiQYMhc8rIH9nxPy178j19g5b32a6v4XJUz19oykQ3H2ngk5wMC2ULKjtA,SOLO,87,52,67,5,3,12,5,4,45,TOP,91,16519,0,34034,7412,0,158,1605,320,25864,2461,1615,1,2,7,0,23,True
1,Deshoz,8,2,17,11,MasterYi,470,35648,470,52354,10,False,True,15017,14600,JUNGLE,0,0,2,6673,3153,3047,6333,3110,6677,3340,25,11,JUNGLE,4,455,5570,436,3032,157,0,0,0,1,0,153748,21548,30203,741,ZfFuBpEd4KxmZS55FbM_sSy4Yjnjr9J6jAF0k8rwkuB98LvwiwqFHI5nh6wvqyoYmCVLz5sTdhT8pg,NONE,89,7,59,14,6,4,20,11,43,JUNGLE,7,27706,0,36984,12952,0,25,213,341,32732,5720,3749,3,3,7,0,24,True
2,aidanheat,18,0,18,101,Xerath,2475,7787,2475,9560,5,False,False,14640,12410,MIDDLE,1,1,2,1052,6655,4628,3135,3020,3916,3363,29,9,MIDDLE,3,828,164134,37396,847,0,0,0,1,0,0,10233,1517,15383,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,146,76,41,59,7,4,5,12,117,MIDDLE,37,38966,0,16967,1810,0,175,258,202,24925,52,736,0,5,7,0,38,True
3,Aidenheat,15,0,17,22,Ashe,7760,30639,7760,14696,8,False,False,15225,13950,BOTTOM,0,1,2,6672,3026,3006,3046,3031,0,3340,21,9,BOTTOM,2,390,2582,2182,2507,47,1,0,1,0,0,142613,18527,21096,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,CARRY,33,101,16,11,6,7,6,4,38,BOTTOM,43,22294,0,23878,4373,787,139,606,291,17816,1584,274,3,6,7,0,32,True
4,MunZee,14,0,17,235,Senna,5330,14517,5330,16524,6,True,False,17002,14225,UTILITY,0,1,2,6632,6677,3094,3047,3071,6676,3364,24,13,BOTTOM,3,682,3150,1193,3395,0,0,0,1,0,0,113530,34232,21061,4982,E6MWenhd4jGUHmkswv58z-A9GshFHFWJ0PFxwx9uGjnoOM-gM8aaqoJDlyyFqR4leCej7m_UOU0ZBA,SUPPORT,78,51,29,7,7,3,5,4,43,UTILITY,63,35604,877,25568,10761,1967,87,219,219,2064,179,1112,1,5,7,0,70,True
5,xXHeartsXx,6,0,18,92,Riven,13559,17029,13559,33233,4,False,False,17927,17475,TOP,2,2,1,6609,6630,3074,3071,3111,6694,3340,26,10,TOP,9,1263,0,0,6972,14,0,1,0,1,0,247354,28071,24400,1666,_iZJinEiYeEuhkuvfp1sVnyg9vnk2j1VqqIBbBEAmyHps7_FX0Ma640ZexE4QiuVeyzbGJGVusG38A,SOLO,394,85,200,29,5,4,3,12,62,TOP,33,29105,0,33330,10759,0,264,168,96,4968,1034,1957,7,7,8,0,40,False
6,RUBENSANDWlCH,13,0,16,56,Nocturne,1024,21941,1024,36256,9,False,False,14886,13850,JUNGLE,0,0,1,3006,6631,3053,3074,3067,3133,3364,26,10,JUNGLE,7,979,11366,1980,14116,157,0,1,0,0,0,178712,18836,32858,4863,_L6OsmXjuR721ksj_bRdnkLrPbNTZZvIkwoJ5XbzbNfUP62jWIg8NAF184067_mtgj-91E08FRl13Q,NONE,118,21,47,28,19,11,5,4,147,JUNGLE,230,22220,0,50421,18439,0,45,659,398,13878,1403,3446,0,0,8,0,27,False
7,airwulf55,5,0,15,91,Talon,292,2522,292,22144,15,False,False,11777,11650,MIDDLE,0,0,1,3042,3071,6630,3158,1036,1028,3340,25,6,MIDDLE,0,407,495,400,19175,22,0,1,0,0,0,113503,20742,26723,1109,G_qUA5ASGwHOcGjHNeHp94f5eWu5GVH3F6tejdAJPTxxsgoTHugxOC9YRNKW0rtLq1jY7yZoZdN5_g,SOLO,82,93,119,16,7,4,8,14,413,MIDDLE,8,23334,0,48089,6710,0,117,222,534,5882,2191,2190,0,0,8,0,28,False
8,Yumemaria,10,0,15,21,MissFortune,3502,8987,3502,8968,10,False,False,13830,13800,BOTTOM,0,0,1,6694,3026,3006,6676,0,6691,3340,26,9,BOTTOM,2,393,6607,2953,6729,21,0,1,0,0,0,109296,21603,13866,3840,pkA76XqmUGdv9fILSX1hPKqHzUyy7HmF97SPsbDjIzUqA6_4ci03VN2T_NMOZ84lIDgWwjHaSAR3bg,CARRY,53,46,38,9,7,7,6,4,352,BOTTOM,15,26094,0,21251,4164,864,164,206,295,4463,1537,654,0,1,8,0,20,False
9,ThanatosGrimm,14,0,14,89,Leona,1000,1000,1000,27529,7,False,False,8697,8225,UTILITY,0,0,1,3860,3047,3190,3076,3050,1028,3364,27,1,BOTTOM,0,516,10497,3924,7973,0,0,1,0,0,0,5869,1960,12144,4655,7aOdMwrS-NDshSuslNGqM5yURkvDKfVhP2VF2-zN80ozfHf9V90Bh8nrsyUrby3DcddZ9iDe4VWIow,SUPPORT,39,29,23,15,6,14,4,4,152,UTILITY,47,6639,349,21868,2045,768,34,82,172,5969,754,1749,0,1,8,0,77,False
