,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,QUANTE,2,0,16,6,Urgot,2385,4538,2385,21423,5,False,False,12630,11975,TOP,0,0,2,3181,3071,3748,3111,3134,2033,3364,19,5,TOP,2,795,183,183,6916,0,0,1,0,0,0,150848,11566,12050,2074,P1JYGKvMtJzSWF4ylpel1VPrBVfSzpvbCJ51nwvXRccMnVTX3IYdkbb6__80-cTFMvFDbqp5uqDVsw,DUO,62,188,11,8,3,12,4,4,280,TOP,22,13706,0,20583,3000,0,261,282,132,4166,1956,1617,1,1,10,0,28,False
1,Matty,6,0,13,245,Ekko,0,4479,0,18030,4,False,False,9101,8600,JUNGLE,0,0,2,3020,3152,3157,2055,3113,1082,3364,21,3,JUNGLE,2,945,113183,11783,10780,108,0,1,0,1,0,20969,2101,17620,5025,6Z4On8TPMEmBayciQ3WZdnRaTjdZ2yq4WlzKrSS-dTWuY6ZBTtQtEnXuLXo2l2iU33YuGKIVqPWhVA,NONE,106,36,63,7,15,11,3,4,446,JUNGLE,31,14837,0,29296,12878,0,57,489,150,7950,952,895,0,0,10,0,21,False
2,self focused,4,0,14,67,Vayne,0,2049,0,10863,8,False,False,10496,10300,MIDDLE,0,0,2,1055,3006,6673,3508,3035,1018,3363,28,4,TOP,2,453,0,0,9596,14,0,1,0,0,0,103620,12241,14004,4982,h7SXpr3MQ6Sui9oVCmqNZ2u6qr5k67gxsMsTJXfNP2v0bqjgjpFHuWUyZ5vsCUx1gJJP5nksAiaBuA,DUO,108,0,20,8,4,4,1,1,54,MIDDLE,11,16590,0,24693,4917,0,174,15,199,30246,4348,1092,0,0,10,0,11,False
3,Lin Ji Xiang,2,0,13,523,Aphelios,485,485,485,8995,6,False,False,8481,8150,BOTTOM,0,0,2,6673,3006,3033,1055,1033,0,3363,20,1,BOTTOM,0,353,928,715,7567,0,0,1,0,0,0,92864,10362,7254,4568,EPWWALCKzuxkDHrCEAfIvWkG2cXKHm7dfplRnDjOJIrdnMoGExvemNOimdv1rZFlLYuOAc-7a4sSXg,CARRY,48,138,0,3,3,4,3,1,84,BOTTOM,16,11195,0,15445,2746,0,193,121,146,117,117,623,0,0,10,0,24,False
4,Zyko,6,0,12,412,Thresh,0,0,0,15689,6,False,False,6911,6775,UTILITY,0,0,2,3190,3857,2055,3067,3117,3801,3364,34,3,BOTTOM,3,708,6266,3792,6433,0,0,1,0,0,0,4924,820,10303,4932,6OZTwGVH0aEz0NmHDPM0hjnrfd7ze7nS3eUOeUvZK-pLElnhARYW7HGEVdd7fA4NPPpSwehRfu36BA,SUPPORT,39,29,14,5,7,14,4,4,391,UTILITY,26,5756,3444,17891,2108,787,39,90,122,5528,1144,1154,0,0,10,0,71,False
5,Yung Fappy,9,0,16,17,Teemo,0,12089,0,10583,6,True,False,11623,9635,TOP,0,1,0,3006,1052,1082,3115,4633,1026,3364,18,2,TOP,2,548,93248,9170,3997,21,1,0,1,0,0,40290,2513,13156,4762,ZT60pwWrAmYQ8uoYxZv2etjuO97e2Th4b110ugyhsxGyVPxkSe-_n1HXViiAoF8pM9I1hXHMQntctw,SOLO,25,20,0,50,4,4,5,14,303,TOP,15,13190,0,18872,4676,0,215,197,191,2051,1505,1718,0,0,1,0,16,True
6,c2 meteos,7,2,16,120,Hecarim,2677,30810,2677,29608,3,False,False,13499,12460,JUNGLE,0,2,0,2055,2420,3158,3053,6632,6333,3364,26,8,JUNGLE,4,513,19773,1730,5594,180,0,0,0,0,0,154815,9918,26562,588,a0hFKqJT_jHoqYYkJQ2ZwQ5VEyhW1nho5zYXPaAYokPJQTf644BwDsx2YoHx1e_I2QKYx4k7U2_80g,NONE,314,55,73,7,7,6,19,11,438,JUNGLE,16,12558,0,35567,19719,0,21,248,85,12939,909,3410,0,2,1,0,32,True
7,DÑA,6,0,16,18,Tristana,18557,33113,18557,11203,2,False,False,16961,15100,MIDDLE,2,2,0,1038,3046,3031,1053,3006,6672,3363,28,10,MIDDLE,6,840,29020,2155,4939,34,0,0,1,0,0,206044,27042,13983,4982,XAGjVyRSDz12mJvOllPQUJkt_XRGy_xEdE72USwMuxRFDjrJiH50CUFblDR-WenD6-bWWKZlzZ0UwQ,SOLO,45,28,59,6,5,4,5,7,375,MIDDLE,3,31577,0,21328,6565,510,239,46,84,15456,2379,2405,8,8,1,0,32,True
8,saving na,12,0,16,134,Syndra,4008,5747,4008,4572,2,False,False,11707,9675,BOTTOM,0,1,0,1056,3135,1082,3020,6655,1058,3363,26,2,BOTTOM,2,993,141016,21385,2909,8,0,0,0,0,0,11151,431,7438,4804,m6Vb6Wttb2reFPBApSZeBzbA0JfBaxLBgnQqNI9D0fPUWId9M4jNl67LAQKzormaXkP7WomGU03EiA,CARRY,175,164,48,6,4,4,4,12,472,BOTTOM,41,21817,0,11057,2559,0,229,298,69,0,0,710,1,3,1,0,22,True
9,Doublelift,12,0,14,53,Blitzcrank,922,1303,922,20145,3,False,False,10290,9075,UTILITY,0,0,0,3190,3110,3860,3117,3067,4643,3364,29,7,BOTTOM,4,806,13520,6226,3597,0,0,0,1,0,0,7479,2541,9241,4568,ivcGtM9K5zatTMuKPHljy7Wk9uVjpw93M1Dz-0aWj3xv3KP3fIfq8m7p72sJuwNrD4zR_MckybTm4w,SUPPORT,36,32,39,12,10,4,5,14,259,UTILITY,32,9355,1331,14151,477,0,40,267,82,5653,588,1312,1,2,1,0,77,True
