,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Allorim,8,0,14,54,Malphite,573,909,573,29488,6,False,False,10053,9435,TOP,0,0,1,3047,6662,3076,3067,3001,1029,3340,21,2,TOP,2,581,61012,11390,8456,0,0,0,0,0,0,36152,3081,8352,532,kBmHfClNUna70Dr219CGb1V6pKxJirmFnyqeDEosanYoHPBJyVt3y6yMa4PeDklL5oMXUV9g35rDgA,SOLO,60,54,49,8,4,4,2,12,378,TOP,28,14760,0,17971,1425,0,185,1034,161,6981,288,1162,0,0,8,0,20,False
1,Sheiden3,1,0,13,121,Khazix,0,17114,0,15416,11,False,False,10417,10025,JUNGLE,0,0,1,3142,2422,6691,3123,3133,3035,3364,19,5,JUNGLE,2,493,8119,646,11067,144,0,0,0,0,0,128928,10521,20652,4928,cK8G3p2XjhBDqsef6LlXkl5-9PxP5P5w3Kh9lCdcjISJrTtoPKPOdin59D1Igd2ihrJI9oBEIvJxbQ,NONE,186,90,40,14,14,11,3,4,109,JUNGLE,6,11809,0,32158,11918,0,8,146,329,7365,640,438,0,0,8,0,16,False
2,Dragarrin,2,0,16,13,Ryze,2970,8109,2970,9532,6,True,False,13556,13235,MIDDLE,0,0,1,3040,3158,2055,3165,6656,3157,3364,22,8,MIDDLE,2,645,182273,22787,10624,13,0,0,0,0,0,11582,1340,12562,4933,bWLccTHmw_aW7-YVsc55lfroONwUvK1soDeV4YhI3-9xcxraQVmdcJFMfRGKUn4DkPMSI1KfH7kokQ,SOLO,246,50,376,5,4,12,4,4,500,MIDDLE,30,24128,0,23927,583,0,228,97,247,1907,0,740,1,1,8,0,25,False
3,sai yes,3,0,14,51,Caitlyn,2354,6718,2354,6700,10,False,False,9481,8600,BOTTOM,0,0,1,6671,6676,1001,3035,0,0,3363,23,1,BOTTOM,0,269,1143,933,7597,4,0,0,0,0,0,120152,12213,9522,7,laarYq8mQuhl9maKBM1jA_wFBkToblmOIe-8Hnl3zUICzdlP6U_ACNQQQE7J45CMzBxWvxiJ53gdLA,CARRY,46,42,17,5,5,7,3,4,366,BOTTOM,16,13331,0,17719,2758,522,185,43,241,2091,183,599,1,1,8,0,37,False
4,TSM FTX Donbray,9,0,12,432,Bard,0,134,0,21560,10,False,False,7223,7175,UTILITY,0,0,1,3853,8001,3190,3111,0,1082,3364,22,2,BOTTOM,0,652,10941,5864,10375,1,0,0,0,0,0,2587,1573,9326,4027,hEDPee_g8p8vdrRryti5p1N_SGSLhhPhTrjYFzTJEt8tLEJpr5SAbO7Pjcp4BcJ6NCIZv82wCvrB7A,SUPPORT,44,48,22,7,3,4,5,3,315,UTILITY,23,7438,2942,21627,2995,1243,17,130,253,0,0,1925,0,0,8,0,70,False
5,safdge,14,0,17,126,Jayce,6439,11248,6439,14003,6,False,False,13455,11725,TOP,0,0,0,6692,6694,3134,0,3042,3111,3340,20,7,TOP,3,544,21275,3027,9710,32,0,0,0,0,0,156576,21538,7244,1301,eGsjn_mUQv8EF6BlhkyesMYBuydY-qnkXtpwHiJjUw1UXQt1aYU3mp8S1O75W5ZezXj5XUWsag7lVw,SOLO,119,95,70,108,4,4,3,12,94,TOP,11,25119,0,17118,2771,0,202,254,204,4186,553,163,2,3,2,0,36,True
6,ubao,15,0,16,517,Sylas,6979,12326,6979,12409,3,False,False,14108,12710,MIDDLE,1,1,0,6656,1052,3157,4629,3041,3158,3340,26,10,MIDDLE,7,337,145762,20659,7891,22,0,0,0,0,0,7222,897,11868,29,FYMtVD1GJt2wm_lAx-Lc0pEvsS__Wpj3QGRmsfZpp0D6IxizUzvMFDPvAWHFVdgFp3ZUlqCPLaAQ_A,SOLO,87,64,160,21,4,4,4,12,100,MIDDLE,33,21588,0,19856,7513,0,183,437,51,532,32,97,2,5,2,0,26,True
7,liantiguaiwu,14,0,16,234,Viego,2125,33606,2125,23114,3,False,False,13441,12100,JUNGLE,0,1,0,1036,2421,6632,3091,6333,3047,3364,23,8,JUNGLE,4,1269,26352,2342,9496,156,0,0,0,0,0,143528,12664,19484,1387,aPBQamixEYZBXyuHHersvPjzyubW7wmzw3eDCZtubTA7Z1Ab1lFLe2MsdspLdFwkVf6x0Nk3nUbFhQ,NONE,185,124,76,14,4,4,15,11,66,JUNGLE,16,15703,0,30575,18297,0,36,158,130,12008,697,1595,1,3,2,0,15,True
8,Fishlord,13,1,15,50,Swain,3953,11483,3953,11125,2,False,False,13728,13550,BOTTOM,0,0,0,4637,6653,3020,1058,1058,3157,3363,22,7,BOTTOM,5,1113,122465,19672,9993,16,0,0,0,1,0,11606,1006,8746,4079,EcXrkpH8Ev9YchFfBYKE0WlINB2rEeI30ZDO7wdXhiPdiesMG88zPjSJiDVyHr-sxDFKDVINmUGC2Q,CARRY,123,41,60,14,4,4,2,7,460,BOTTOM,33,21304,0,18740,6632,150,215,220,85,961,625,0,3,4,2,0,21,True
9,Outstep,7,0,13,555,Pyke,0,0,0,8623,4,False,False,13514,11750,UTILITY,0,0,0,2420,3857,3142,3179,3117,6691,3364,29,11,BOTTOM,5,789,0,0,7787,0,0,0,0,0,0,15380,7415,8474,4568,GZ71Tb6DSAALFxS-P-UG_ogcJZDEsnE-uBPr3vezS_1d5sgyZU8nCFKfVmtrmWNSPH_1f3KkMxcd3A,SUPPORT,46,65,26,14,4,4,6,14,116,UTILITY,16,10373,0,16534,4770,0,46,67,113,8743,2957,272,0,0,2,0,130,True
