,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,ćam,8,0,16,246,Qiyana,3886,9908,3886,8835,6,False,False,13763,11550,MIDDLE,0,0,0,6695,6693,1036,3158,6694,3134,3364,20,9,MIDDLE,4,381,15346,2059,4614,17,1,0,1,0,0,142492,21035,12618,23,OJOrMOE0gVuLrnOn8pXkP8OpiV50xzXbOlCC1F9GhF8FtXg-VTiOFPDxIjQlFCWsslDSVCZ4jIyUQw,SOLO,114,142,33,8,4,4,6,14,406,MIDDLE,22,24866,0,18700,4660,0,180,115,170,1875,1771,1467,1,2,1,0,14,True
1,Maik Wazowski,4,2,18,121,Khazix,5295,65395,5295,12502,3,False,False,17199,16225,JUNGLE,0,1,0,6693,3142,6676,6695,3158,3036,3364,25,21,JUNGLE,11,671,7983,1921,4461,177,0,0,1,0,0,225804,31042,17921,17,MxqiMtPutNtkTkeS3-gdZ14xmWl9HxKTP6rKmEYorQiPBB4wqyjfgH2g5jqVfL3WEro2B6RA-a-Uvw,NONE,222,112,59,24,18,11,2,4,44,JUNGLE,6,34655,0,23158,13212,0,59,227,87,16599,1691,775,2,5,1,0,35,True
2,Washed up John,4,0,17,82,Mordekaiser,6797,9157,6797,20477,1,False,True,13914,12460,TOP,1,1,0,1043,3157,3116,3047,4633,1026,3340,21,8,TOP,4,955,132063,18004,3161,12,0,0,1,0,0,18808,2605,10887,1639,3l-E6mTuqu-BXtGsrPmn4QzGd-ecKH_b9fkonTAIDdH04Wbi4OfsgAQN7lCpIDd2UKholZizg8A1bw,SOLO,123,38,49,8,4,4,2,12,443,TOP,7,21896,0,14750,8966,0,190,82,37,2107,1286,701,4,7,1,0,19,True
3,im risk,10,0,15,51,Caitlyn,5277,7114,5277,5891,6,False,False,11754,10525,BOTTOM,1,2,0,1055,3006,0,6676,3094,6691,3363,21,2,BOTTOM,2,399,1141,432,1909,4,0,0,1,0,0,125642,16203,10758,937,lSJHXi6okRXYBtFJElzgSx0fLwjDk2lXEqMW_1JKYSF7Nj3pP-8XDzOcMej7U4fzsv_-YfMqJYXP_g,CARRY,52,47,21,7,4,1,5,4,407,BOTTOM,20,16825,0,13144,2722,0,195,65,140,11614,190,476,3,3,1,0,21,True
4,livelyfish5,10,0,13,32,Amumu,415,6271,415,23788,4,False,False,8396,7500,UTILITY,0,1,0,3860,8001,0,3110,0,3047,3364,26,2,BOTTOM,2,420,27395,6831,4440,4,0,0,1,0,0,6492,1052,13985,12,hl1He31iLsU8mND7z7vV5BNXATVc7yAyXZyfWcFLeYOpJC8n5JpPzPy4Q7QNuZsiDkVZWAsUsgCj9Q,SUPPORT,53,64,58,8,5,3,3,4,542,UTILITY,36,8220,0,18587,3110,146,34,167,103,7021,336,162,0,1,1,0,69,True
5,DippyDan,2,0,13,164,Camille,43,1098,43,14702,14,False,False,8365,8358,TOP,0,0,2,1055,1053,3158,3078,3077,3044,3363,19,3,TOP,0,404,436,436,10723,4,0,1,0,0,0,52437,5943,23266,4665,FPRgm9Zl5-7rFMpNFz-k1Z0CZzJGfA1DE1-fAsrYIP2UvbMMz-G6h7uIYdL4JfO0GVVFbf8YAui2kw,SOLO,142,27,64,4,4,4,3,12,353,TOP,9,8463,0,35618,2914,0,142,94,429,15107,2083,1627,0,0,10,0,18,False
6,1qxygucqxlfl558h,4,0,13,234,Viego,59,11040,59,23887,8,False,False,9804,8925,JUNGLE,0,0,2,3047,6673,6333,1053,0,0,3364,23,5,JUNGLE,3,315,11656,1277,7894,96,0,1,0,0,0,97431,10482,19423,15,TeZgRXRGANdAnZxLqW-nCki2kHScVgvF3EJOI2LyARAZG1jH24ggLM0yzOazMMW59Rsv1DNv7SCDyA,NONE,126,106,50,16,14,11,4,4,45,JUNGLE,10,12403,0,29802,8753,0,49,118,252,5240,643,2483,0,0,10,0,15,False
7,Pekin Woof,1,0,14,61,Orianna,34,3021,34,6029,9,False,False,9511,8575,MIDDLE,0,0,2,6655,2420,3040,1082,0,3020,3340,14,3,MIDDLE,2,487,112497,9443,1176,1,0,1,0,0,0,11572,696,15385,512,8Y6GTH-02KUbNCh5KZT454S76e3LHuQNCG4UAziiqWRXwHDe9pow61ky4CWX0JcVZup3PzUt_VT-rg,SOLO,168,118,56,5,5,4,2,12,198,MIDDLE,15,10181,847,16985,941,0,202,253,178,98,42,424,0,0,10,0,19,False
8,My name07,4,0,14,119,Draven,2414,6125,2414,10039,7,True,False,14129,13650,BOTTOM,0,0,2,1018,3006,6673,6676,3031,3035,3363,25,8,BOTTOM,3,377,1351,1006,4596,13,0,1,0,0,0,177443,21848,20538,4791,tPygWUo1rhSFPQiZnttvPp0FrpBG_il20q0KQmJMmqkjhLZTWNI6frgH6BMZ4zgOlQ_e15HJ_u4sQw,CARRY,78,156,20,11,4,4,5,7,479,BOTTOM,10,22855,0,25672,8078,989,192,89,157,5384,0,536,1,1,10,0,12,False
9,Juke Jouster,13,0,12,89,Leona,0,0,0,23087,4,False,False,6853,5825,UTILITY,0,0,2,2055,3190,3076,3860,3117,1027,3364,24,0,BOTTOM,0,634,7881,3993,6022,0,0,1,0,0,0,5199,1957,13199,4247,3u4iT1YQwfEt6nsXwUJ45v5LqU15socQRWSiL28kfyWDHKi9zhiHSWJ9A0W6s1GKYyc_q1yPbfaOQA,SUPPORT,53,20,26,11,7,14,9,4,290,UTILITY,47,6764,608,19952,2360,798,36,91,84,5728,814,731,0,0,10,0,68,False
