,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,DasStahl,3,0,17,75,Nasus,4446,4446,4446,67568,3,False,False,13324,13150,TOP,0,NONE,4,3075,3110,6632,3047,0,3742,3340,18,5,TOP,3,1498,43991,8731,7161,0,0,1,NONE,0,0,185399,21584,32346,2091,zo7A-si155en7W1w1iyl5978zE1tPRjfv9nfbjgodpd2J-QWH9FzCWvmTY_Q7_cJ6KfuRmx7YADQdg,SOLO,261,24,37,12,7,6,5,4,215,TOP,19,30830,0,42785,5808,0,239,2279,100,8052,513,3278,0,NONE,11,0,11,False
1,TheRealDommy,8,0,17,2,Olaf,1689,20561,1689,39552,6,False,False,12139,11700,JUNGLE,0,NONE,4,6630,2031,3111,3053,3065,3133,3340,18,4,JUNGLE,0,984,9767,22,8002,138,0,1,NONE,0,0,149269,12584,35005,10,WU3roj377zsyhDQzuIR3oHeH2yNTC-M3b_U79nImvbMO9ziYQFlf7yFgqWKsZdXtNA0CmitTRyLvHg,NONE,213,23,67,6,2,4,9,11,36,JUNGLE,16,15654,0,45050,14488,0,42,766,198,24017,3047,2042,2,NONE,11,0,11,False
2,Aidenheat,5,0,18,112,Viktor,3363,4832,3363,23317,8,True,False,18446,17635,MIDDLE,0,NONE,4,3157,3089,6655,3100,3135,3020,3340,24,13,MIDDLE,3,520,218610,47315,4485,45,0,1,NONE,0,0,20339,2674,17076,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,SOLO,96,51,130,26,2,12,5,4,33,MIDDLE,51,50346,0,22809,1307,0,214,679,251,7156,356,1247,1,NONE,11,0,26,False
3,UnusalWanderer,8,0,13,22,Ashe,751,751,751,11116,11,False,False,8301,8250,BOTTOM,0,NONE,4,6672,3085,3006,1036,0,0,3340,21,1,BOTTOM,0,793,4911,2591,3394,4,0,1,NONE,0,0,59985,10578,20767,1391,KkTuhtouHKa1Kubi7i6a7WLGXeMwE_K2iD8tlClGpQbvYvN2sYIrh-gA1co_ibm-ZH_ycLQXIdDLeQ,CARRY,9,71,23,15,5,7,4,4,245,BOTTOM,70,14151,0,25489,4771,1128,104,744,343,4199,981,1327,1,NONE,11,0,33,False
4,snowyfoot,8,0,13,16,Soraka,291,291,291,9595,9,False,False,7114,6825,UTILITY,0,NONE,4,3117,3504,3853,6616,1004,1028,3364,19,0,BOTTOM,0,788,14784,2941,2593,0,0,1,NONE,0,0,2403,64,13432,4653,aSD8-DW90rCdE-tO0Sa3U2--06c6XfRo7CQSoO5CyZoFNkQDJKxiBmoYRfSwMJNo6i4X1bbpRy6LOA,SUPPORT,58,22,25,8,4,4,3,3,193,UTILITY,31,3005,908,17405,12310,8898,11,183,268,0,0,1378,0,NONE,11,0,47,False
5,BooFybOofy,7,0,16,122,Darius,3180,6404,3180,31971,7,False,False,11573,10900,TOP,0,NONE,0,1055,3047,6631,3053,3065,0,3340,20,4,JUNGLE,2,899,524,87,17392,7,1,0,NONE,0,0,129742,17540,23414,4832,cSvhFeg3JriK5hk2OCYQzpWrVPOpOLpPW_ozIjoioFC5nFUDh5wG6_BqPEZCM2kqpuHO7IMEzp8cLw,NONE,93,53,29,11,3,12,6,4,32,TOP,39,20307,0,41890,15102,0,159,194,298,9178,2678,1083,0,NONE,4,0,17,True
6,CentrixOrion,8,1,17,77,Udyr,2125,35155,2125,45396,5,False,False,16114,15825,JUNGLE,1,NONE,0,3075,6664,3742,3100,3158,4401,3364,22,13,JUNGLE,6,915,99296,14419,17395,141,0,0,NONE,0,0,65749,8349,28332,4835,Lq51bgfaxmhsgN95L5UBPsIgUpeL2AtN_f4rKusaKg_sGjQHRS6nllIJWPVEk63lvy3k3Wb84xC8yw,NONE,78,16,122,83,5,4,20,11,143,JUNGLE,43,25922,0,48166,21519,0,50,246,226,18040,3153,2438,2,NONE,4,0,16,True
7,Fireice020,10,0,18,157,Yasuo,8321,21415,8321,35931,7,False,False,16052,14200,MIDDLE,0,NONE,0,1055,3006,6673,3033,6333,3091,3340,24,11,MIDDLE,4,550,13971,3359,13638,40,0,0,NONE,0,0,188014,20653,14965,4758,dDMlP4zPeXuq1QeWG4-besN1rSv6GY9epgDR14y_Mi34nUGJ9gQfck07lDdug-wcq-G1UsQo1QtzJA,SOLO,296,16,116,9,8,14,5,4,194,MIDDLE,24,26220,0,30859,12624,0,165,160,208,21092,2207,2255,3,NONE,4,0,22,True
8,TheDeadSea,10,0,16,15,Sivir,10040,26754,10040,8135,3,False,False,15086,11650,BOTTOM,2,NONE,0,3042,3158,6691,6676,3134,1028,3340,19,9,BOTTOM,4,1239,2501,987,12261,21,0,0,NONE,0,0,212300,31400,9775,3838,z9Fco8xA5Bw3-_iIwVACSgHAscgbxYeAIIzH3RJGv94JUEjAQT4VqGP35KjDSTD_0gig7EUtVPDTVw,CARRY,145,92,28,16,5,4,8,7,55,BOTTOM,0,33493,0,22125,12549,1087,190,0,117,1780,1105,89,5,NONE,4,0,18,True
9,Sleepy BotLane,26,0,16,117,Lulu,2036,5459,2036,5434,1,False,False,10470,8775,UTILITY,1,NONE,0,3853,3158,3011,2065,3504,2055,3364,20,0,BOTTOM,0,1288,12356,4535,5241,0,0,0,NONE,0,0,3195,677,4294,4574,c5slhCSEY99XIi_7KXdWi_pKsXlzuv2CNrFfGNtd8GozgqSuvmQpGrQnYXdpevDy_s-wW1mMgMqA0w,SUPPORT,68,108,113,9,3,3,2,4,35,UTILITY,33,5343,9925,9535,5920,1267,5,256,34,175,130,0,0,NONE,4,0,57,True
