,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,iDok2,7,0,14,39,Irelia,3351,11650,3351,20687,5,False,False,12640,12175,TOP,0,NONE,0,2421,6673,3153,3111,6333,0,3364,27,7,TOP,3,640,16813,5458,10500,12,0,0,NONE,0,0,112409,10235,14025,4755,_FcvKvX9flJilwmvY21pUzL8GpxEtdUPMCIHp5xswiHJTvnVPFWZLqqXF2d1sPxWPWl28odQ_MKgqg,SOLO,190,30,60,5,3,4,4,12,230,TOP,16,15850,0,25360,5112,0,191,80,132,6908,156,834,1,NONE,2,0,26,True
1,           Pogai,13,1,15,234,Viego,710,34935,710,20855,7,False,True,11392,9925,JUNGLE,0,NONE,0,3153,2031,3047,3044,6672,1028,3364,21,6,JUNGLE,2,438,14002,2666,13218,127,1,0,NONE,0,0,117029,11377,14808,3019,yoY3Evn5tkggzLZRhEEKuRw5jT_d_bBg0WWHUyv8b-4OoxEGS254EDmQEFNinzdxrHfioVHV6JQWBQ,NONE,142,79,43,18,14,11,4,4,269,JUNGLE,24,16568,291,29340,10274,196,40,226,208,24087,2524,1313,1,NONE,2,0,25,True
2,Yassuo,12,0,14,142,Zoe,5166,8119,5166,10884,6,False,False,12177,10835,MIDDLE,1,NONE,0,1058,0,3157,3158,1058,6655,3363,28,9,MIDDLE,3,308,98609,25569,8885,4,0,0,NONE,0,0,12106,2618,10490,4073,IkksLE5FPdqCG5chCR1Ag84P5TjTntJHb4ORoHl9fEuDFTjsNBXPFocf687RHxenuOwLHvoQhTFi9Q,SOLO,245,34,57,45,5,4,7,14,365,MIDDLE,46,33047,0,19700,3838,207,129,221,164,7410,4859,325,1,NONE,2,0,18,True
3,Juke Juicer,12,0,15,222,Jinx,8537,12926,8537,13210,12,True,False,14488,12250,BOTTOM,0,NONE,0,3031,1018,6672,3006,3046,1036,3363,22,11,BOTTOM,3,258,694,414,10454,35,0,0,NONE,0,0,157576,26392,17001,4764,4Ftfekzwpr41k40zrUqlnqryKbwZ3AxeZUZvE71NeB7SyBEN9QALys-CXtzRYYEEOx5NaEoSdj5itw,CARRY,129,51,16,7,6,7,6,4,78,BOTTOM,20,31275,0,27909,2616,663,161,109,297,13129,4469,454,5,NONE,2,0,29,True
4,DemonicBug,25,0,13,350,Yuumi,841,841,841,7485,6,False,False,8973,6875,UTILITY,0,NONE,0,3853,6617,1082,2055,6616,3916,3364,22,2,BOTTOM,0,439,13045,9815,3936,0,0,0,NONE,0,0,2216,1883,6552,3870,BnOWCLrqIf9pPDb4IbheOW3SuQNjMgt62TgqzUevVZEPYICd-TVq3lCt4La5k73kYrxJrJ-Kpo03MA,SUPPORT,63,144,57,9,7,14,7,3,409,UTILITY,29,12653,5707,10744,18001,16345,11,63,147,954,954,256,0,NONE,2,0,58,True
5,baby god,11,0,13,54,Malphite,213,9184,213,34774,5,False,False,9277,8750,TOP,0,NONE,1,2033,3068,3075,3047,1082,1011,3340,14,5,TOP,4,540,56912,12715,7666,4,0,1,NONE,0,0,29283,3399,10626,4573,kjoEBvc0bYAe9XPKRwTJl9810sLAdlrGIfuBSjzGVjNt2PnjjS5xwCs47wCIbsNts4yURRrYHm_6qA,SOLO,73,50,59,8,2,12,3,4,145,TOP,24,16114,0,20457,3796,0,146,487,112,0,0,2164,0,NONE,8,0,19,False
6,Zhadox,13,0,14,64,LeeSin,0,15281,0,37126,9,False,False,11360,10050,JUNGLE,0,NONE,1,6630,3047,3053,2055,1031,3123,3340,27,9,JUNGLE,2,341,29700,2385,13609,103,0,1,NONE,0,0,88062,13666,21725,7,bmicYv_8wCXpUfw-bfBnqeMNxAseagoExa0fq3hw51Euxt67PTsN7w1DJO3EMSBX6nfF8ouKWepdcw,NONE,182,144,136,11,14,11,4,4,407,JUNGLE,22,16592,1572,38469,11259,0,26,434,246,9506,540,3133,0,NONE,8,0,22,False
7,Erick Dota,14,0,15,147,Seraphine,2676,8488,2676,15217,6,False,False,11757,11175,MIDDLE,0,NONE,1,3111,4629,1082,6655,3102,2055,3363,21,6,MIDDLE,2,498,126344,19490,7418,20,0,1,NONE,0,0,13600,1480,11236,3800,1Sghn9OChwHXEMRw6Erd-ImIo6HsF_eRYVAg664iqxgIArYDXbi83c-48pcH0swi9NhczCacTgN_6Q,SOLO,128,28,77,9,3,4,4,1,809,MIDDLE,27,21138,5126,20480,4291,1241,202,235,159,5620,168,1825,1,NONE,8,0,16,False
8,belowzero,14,0,13,18,Tristana,1748,10294,1748,11420,8,False,False,13157,11775,BOTTOM,0,NONE,1,1037,3033,6671,3046,1018,3006,3363,23,13,BOTTOM,6,526,18284,3277,8940,12,0,1,NONE,0,0,99505,22286,14416,1640,Szm2ECvuzeKBWAkOh9WdfW6eyKW7ofGo_EULYT7_5EkT7a8lv6tU2Ect9WLp27SSRhTudzlyHyGRrQ,CARRY,41,25,38,7,6,7,5,4,249,BOTTOM,8,26175,0,25621,8407,852,127,77,229,6342,611,2264,0,NONE,8,0,13,False
9,SlayerSupremelol,22,0,13,12,Alistar,266,744,266,32329,7,False,False,7797,7675,UTILITY,0,NONE,1,3860,3050,2055,3117,3801,3190,3364,29,3,BOTTOM,0,263,13136,6904,9780,0,0,1,NONE,0,0,5595,1681,10352,4814,Ktsah2DSc1opwxydF7WqkT1eskj3reQ6rhbvWsOEeV0f2RhBWY_VqexSsBDfwUvf8DZQL8uUkZoj2w,SUPPORT,34,27,27,7,15,4,6,14,84,UTILITY,52,9392,1300,23708,11954,7276,40,110,182,6998,806,3574,1,NONE,8,0,60,False
