,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,psyduck1991,1,1,14,31,Chogath,5606,14561,5606,8512,2,True,True,12330,11850,TOP,0,1,0,3067,3157,3135,1056,6655,3020,3364,15,9,TOP,5,999,97895,7895,8032,24,0,0,0,0,0,15010,611,6704,4568,CDRJZceucooPRHQysrTp3f9_MvlChPPqC8kgUZK9hIXtCe395p3QXLqFFTBmKPqnj5tRVYJAN09-Zg,SOLO,60,47,43,10,3,14,2,4,111,TOP,33,12832,0,14737,5378,0,141,464,79,9341,4326,0,4,5,0,0,6,True
1,zoorum ,7,0,13,36,DrMundo,1073,30709,1073,16438,1,False,False,9570,7825,JUNGLE,0,1,0,6662,3111,3065,1029,0,0,3364,16,3,JUNGLE,2,709,54299,6235,6009,101,0,0,0,0,0,42283,2561,15290,5024,9hNn54oHMA1KQkOsGVJ_glLxuaNwisMyBg8ok8AC3oPOiMiy3KlsdlUP_KIIe502XdOaaTOGy-_vUw,NONE,180,31,70,4,1,4,14,11,193,JUNGLE,10,9417,0,21796,17857,0,18,847,21,15815,620,496,2,3,0,0,18,True
2,aidanheat,8,0,14,101,Xerath,1011,2452,1011,2129,1,False,False,11363,11375,MIDDLE,1,1,0,3135,3020,4628,1082,6655,0,3363,25,10,MIDDLE,6,997,95208,25975,2741,0,0,0,0,0,0,7895,0,2309,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,105,42,21,37,4,4,4,12,118,MIDDLE,14,25975,0,5134,547,0,153,106,38,7485,0,84,0,1,0,0,19,True
3,PublicEnemyXO,7,0,12,145,Kaisa,8411,14885,8411,5684,3,False,False,9611,9500,BOTTOM,0,1,0,6672,3006,3046,3134,0,3123,3340,17,5,BOTTOM,3,527,6442,2348,6362,4,0,0,0,0,0,87712,7236,6073,4893,O3c1UOugtXnO72wM_oBVL28lXS6VqbqyrZ7cqT5vwrUG1N5p9jlQhtax2S5JIDqBV1pQvAGXEcerVw,CARRY,52,15,110,4,4,7,4,4,132,BOTTOM,1,10169,0,12859,5186,480,149,17,70,7660,584,424,1,3,0,0,6,True
4,adamwam12,10,0,10,89,Leona,159,1119,159,11111,4,False,False,6396,6000,UTILITY,0,0,0,3859,3190,2055,3117,3024,3067,3364,18,1,BOTTOM,0,536,3060,1898,3355,0,0,0,0,0,0,6036,2451,6457,778,XDuBm5PhAFXGqFIx6RVtAEZf0PXUH5B1Rgijm9tI7R3fHPhVSJ07GTaEEJFtkF9ZfyNPg2pTkOCyhw,SUPPORT,24,13,22,7,5,14,3,4,175,UTILITY,24,4801,552,9904,764,274,18,31,89,4974,452,92,1,1,0,0,36,True
5,Mardyk,2,0,11,17,Teemo,0,6373,0,3499,6,False,False,6236,5600,TOP,0,0,1,1056,3802,3115,0,3020,0,3340,14,2,TOP,2,358,40509,8726,9034,4,0,0,0,0,0,16630,1178,2986,3014,FI3akoBzSvHxDOlCOANBdZJvbDkyBJXC-F6ULDsG9Hj5ZNUzpM83lpHPfL2bwxg3uABYbVTLF5GDlQ,SOLO,19,28,0,35,2,4,1,14,85,TOP,24,9980,0,12913,287,0,113,326,143,11411,76,892,0,0,8,0,11,False
6,ArmoredAlex,4,0,12,141,Kayn,0,6730,0,16936,7,False,False,9283,8625,JUNGLE,0,0,1,6630,2031,3111,3156,1033,1028,3364,19,5,JUNGLE,2,355,6680,0,12292,110,0,0,0,0,0,103190,7213,13034,1588,CsELk9ZJ846wDS5gZfzRvVexfPYLULy3b4wq291jhTNMypklKRuje0JJ2HooWzdrePjNWMpv9xItUw,NONE,100,55,25,8,12,11,3,4,96,JUNGLE,18,7516,0,28535,10929,0,35,248,199,6134,302,3208,0,0,8,0,15,False
7,guysitsvince,5,0,13,99,Lux,0,719,0,6205,4,False,False,6621,5600,MIDDLE,0,0,1,2424,3111,6655,3145,0,0,3340,13,1,BOTTOM,0,419,72763,8930,8068,0,0,0,0,0,0,6700,89,852,4362,kc_r0PG4fLRqLlfNrELLRf5k5_5vpwwVo0_FpiDq5sPCDDgBbv7FQmVxwes8s_DzEkOJ4OR6SVqd9A,DUO,37,32,139,10,3,4,5,21,104,MIDDLE,17,9020,1887,8920,0,0,131,352,106,2385,0,0,0,0,8,0,15,False
8,succulentFIRE,5,0,10,360,Samira,0,4403,0,5485,6,False,False,6287,5500,BOTTOM,0,0,1,1055,6673,2003,3006,1036,0,3340,14,2,BOTTOM,0,600,4636,707,7516,8,0,0,0,0,0,39759,4154,6572,1154,Ivcrv45OE4CUJZ90iCKz6uJC4Q77NRrNjyX-jF6McmKFOYXWIYzP19mYyn3gP-Jlf8axu0dJJYqOug,SUPPORT,44,12,13,2,1,7,0,4,63,BOTTOM,1,4981,0,15206,1792,0,63,33,149,5555,120,1117,0,0,8,0,9,False
9,alargemangoslush,8,0,10,25,Morgana,0,2436,0,4521,5,False,False,5916,5475,UTILITY,0,0,1,3853,2421,3158,6617,3916,0,3364,15,1,BOTTOM,0,746,19453,6461,9210,0,0,0,0,0,0,4866,919,4364,4794,N6KgtP8xev1SX9_LoqXFGrWusMwsGlQIPXxrB7uYCj_grOlr1GFXMQ4qtV4bbgmxa612yc0jqSIy8w,SUPPORT,70,58,22,4,3,4,4,14,104,UTILITY,45,7979,1806,14338,3279,2006,29,80,132,598,598,763,0,0,8,0,25,False
