,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,druan77,4,0,13,121,Khazix,5138,5138,5138,11341,5,True,False,8865,8875,TOP,0,2,0,6691,6694,1037,0,0,3111,3340,17,6,TOP,2,433,1438,1438,11689,0,0,0,0,0,0,61979,14504,8447,935,sxWR5bW4NMMX9s-axUzb3hXwLOUSt7ZVIdHKgzLgEBi2gYUhFGnfHMWteZdqayZ8ee-iYyJSZo2GLA,SOLO,78,54,32,13,3,14,2,4,90,TOP,9,16603,0,20335,4395,0,93,71,120,5649,659,198,2,2,1,0,11,True
1,mokillz,7,0,15,141,Kayn,2338,37544,2338,16614,2,False,False,12807,9625,JUNGLE,1,1,0,3158,6630,2031,3042,3044,1037,3364,12,9,JUNGLE,5,886,8392,0,8183,147,0,0,1,0,0,160061,12768,21361,1113,3z7jZsFwt0v1r3SI5GjJZBJgfB3LmYSvp1YLYd_5rkJThjhMj1WtVFv2mFWrGKZrI3Y6oNDfVQnLVg,NONE,142,64,32,8,3,4,18,11,199,JUNGLE,20,13426,0,29908,17037,0,47,294,75,21669,657,364,2,5,1,0,12,True
2,Enkkoe,7,0,16,34,Anivia,9206,12176,9206,5038,2,False,False,12736,10525,MIDDLE,0,2,0,3040,6653,3158,4637,0,0,3340,20,10,MIDDLE,6,803,104345,23871,5418,0,0,0,0,0,0,11895,2424,5128,4923,w53qUpQxK_cTbEuzwKxcUUz3VsIzXRyChfmmiBpwFM5RzRM0ORjTs91OpJsvpxC-I8vW23fx5CRuRQ,SOLO,97,29,36,82,2,12,3,4,583,MIDDLE,58,27545,0,10982,1133,0,157,900,70,3179,1249,435,3,8,1,0,20,True
3,TheDESTR0YERS10,6,0,14,157,Yasuo,5791,13164,5791,18550,2,False,False,11926,9800,BOTTOM,0,2,0,6673,3006,3031,3086,1036,1055,3340,10,7,BOTTOM,5,1287,4196,1003,4937,24,1,0,1,0,0,143717,15257,11837,4745,1Y9qhjcPP8TiaBAd7QzgF2S-w23nLHozXxZrlTJjh7TMaRNPl40CJ5EIN3lW4rQwQ39yK-j8-2Ehng,CARRY,221,10,53,8,2,4,3,14,102,BOTTOM,31,16551,0,17250,5550,0,183,123,77,4165,290,475,3,6,1,0,11,True
4,YeetMySchmeat,16,0,13,12,Alistar,629,1461,629,22007,3,False,False,7595,6000,UTILITY,1,2,0,3190,3860,2055,3117,3024,3067,3364,18,1,BOTTOM,0,1291,14312,6099,5708,0,0,0,1,0,0,4589,947,10190,741,dBbVh-ebEnAf8ol5eFfheB1X7LNKQgyR8tcYuNrv_osLBSH6vvOvfnyYfvPhtC7V3qyeD6Zez-gEMw,SUPPORT,29,30,16,6,3,4,4,7,211,UTILITY,42,7047,350,18756,9490,4469,34,96,74,6013,0,2857,0,3,1,0,47,True
5,TitanOfTroy,3,0,14,223,TahmKench,3191,3191,3191,44957,7,False,False,8624,8500,TOP,0,0,2,3748,6662,3076,3047,0,0,3340,16,2,TOP,0,406,54899,15492,7856,0,0,1,0,0,0,34605,4588,18600,1298,HG6QiMnfY2OskMtPONX3P76cbj06ZqGytJiIsSjBjBH_zObR4RWAvUVOCFItYO0r9dZT4DpjYlJVng,SOLO,99,18,13,16,2,12,3,4,126,TOP,41,20081,0,27431,7498,0,152,694,208,2605,0,974,1,1,10,0,10,False
6,jjjooommmill,1,0,12,76,Nidalee,0,1351,0,11601,9,False,False,6865,6075,JUNGLE,0,0,2,4636,2031,3020,3145,2055,0,3364,13,3,JUNGLE,0,299,59631,12121,8610,76,0,1,0,0,0,9092,469,17155,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,NONE,152,144,93,137,10,11,4,4,182,JUNGLE,2,13060,0,26371,7955,54,11,48,214,4845,469,606,0,0,10,0,11,False
7,SirDracknid,4,0,13,41,Gangplank,0,4868,0,9510,7,False,False,8831,8700,MIDDLE,0,0,2,1036,1083,3158,3508,6691,1036,3340,19,5,MIDDLE,2,421,3479,3129,7643,8,0,1,0,0,0,68413,8819,10887,4967,SarRgvV0Dsx5uOW4btqtwVK-eTDo4mg706H-sELahXM5GaFHr4r-uJzFCml0UE2m7TzMYDot43D3Bw,SOLO,168,21,46,5,3,4,2,14,368,MIDDLE,6,13711,0,19044,4825,0,120,77,192,8468,1762,512,0,0,10,0,10,False
8,DoingitintheBot,5,0,12,51,Caitlyn,783,783,783,6444,7,False,False,8981,8650,BOTTOM,0,0,2,6671,3123,3006,3095,0,0,3340,16,2,BOTTOM,2,759,1735,1095,4272,0,0,1,0,0,0,86787,12373,9370,4922,An_auJBKOHM8BrEHL9vfw5BA9YMsrjNS8jYr8FCz8IFTqWSVPTRwVPX8g_YgafXU_1v-U9mY2brqUA,CARRY,39,53,14,3,3,7,3,4,99,BOTTOM,21,13469,0,14149,2895,465,180,49,198,5740,0,506,0,0,10,0,19,False
9,somethingfrozen,5,0,12,89,Leona,0,50,0,15801,3,False,False,6202,5825,UTILITY,0,0,2,2031,3190,3860,3117,3076,1011,3364,14,1,BOTTOM,0,885,4255,2191,4829,0,0,1,0,0,0,4452,1029,7883,983,SrgbaCZojVdASpx6nXlzRpD_cth584f4OhgnA280_2tJQlj6oKFwTL_oRqkvLIeRTjImgOgL8ouK3Q,SUPPORT,19,10,17,6,1,14,3,4,76,UTILITY,25,3321,753,12969,400,0,26,39,99,7953,100,256,0,0,10,0,30,False
